transactionId,timestamp,amount,currency,status
tx1,2025-04-29T11:07:40.385650Z,308,USD,FAILED
tx2,2025-04-29T11:07:41.385650Z,268,USD,PENDING
tx3,2025-04-29T11:07:42.385650Z,164,USD,FAILED
tx4,2025-04-29T11:07:43.385650Z,448,USD,FAILED
tx5,2025-04-29T11:07:44.385650Z,395,USD,FAILED
tx6,2025-04-29T11:07:45.385650Z,400,USD,FAILED
tx7,2025-04-29T11:07:46.385650Z,245,USD,SUCCESS
tx8,2025-04-29T11:07:47.385650Z,141,USD,FAILED
tx9,2025-04-29T11:07:48.385650Z,302,USD,FAILED
tx10,2025-04-29T11:07:49.385650Z,430,USD,SUCCESS
tx11,2025-04-29T11:07:50.385650Z,498,USD,FAILED
tx12,2025-04-29T11:07:51.385650Z,144,USD,SUCCESS
tx13,2025-04-29T11:07:52.385650Z,353,USD,SUCCESS
tx14,2025-04-29T11:07:53.385650Z,113,USD,PENDING
tx15,2025-04-29T11:07:54.385650Z,499,USD,FAILED
tx16,2025-04-29T11:07:55.385650Z,397,USD,PENDING
tx17,2025-04-29T11:07:56.385650Z,491,USD,SUCCESS
tx18,2025-04-29T11:07:57.385650Z,245,USD,SUCCESS
tx19,2025-04-29T11:07:58.385650Z,161,USD,FAILED
tx20,2025-04-29T11:07:59.385650Z,220,USD,FAILED
tx21,2025-04-29T11:08:00.385650Z,409,USD,SUCCESS
tx22,2025-04-29T11:08:01.385650Z,460,USD,SUCCESS
tx23,2025-04-29T11:08:02.385650Z,448,USD,SUCCESS
tx24,2025-04-29T11:08:03.385650Z,63,USD,FAILED
tx25,2025-04-29T11:08:04.385650Z,168,USD,FAILED
tx26,2025-04-29T11:08:05.385650Z,459,USD,SUCCESS
tx27,2025-04-29T11:08:06.385650Z,445,USD,SUCCESS
tx28,2025-04-29T11:08:07.385650Z,376,USD,SUCCESS
tx29,2025-04-29T11:08:08.385650Z,54,USD,SUCCESS
tx30,2025-04-29T11:08:09.385650Z,487,USD,SUCCESS
tx31,2025-04-29T11:08:10.385650Z,499,USD,FAILED
tx32,2025-04-29T11:08:11.385650Z,487,USD,PENDING
tx33,2025-04-29T11:08:12.385650Z,66,USD,FAILED
tx34,2025-04-29T11:08:13.385650Z,373,USD,PENDING
tx35,2025-04-29T11:08:14.385650Z,250,USD,SUCCESS
tx36,2025-04-29T11:08:15.385650Z,420,USD,PENDING
tx37,2025-04-29T11:08:16.385650Z,433,USD,PENDING
tx38,2025-04-29T11:08:17.385650Z,171,USD,PENDING
tx39,2025-04-29T11:08:18.385650Z,406,USD,FAILED
tx40,2025-04-29T11:08:19.385650Z,366,USD,FAILED
tx41,2025-04-29T11:08:20.385650Z,168,USD,SUCCESS
tx42,2025-04-29T11:08:21.385650Z,388,USD,PENDING
tx43,2025-04-29T11:08:22.385650Z,66,USD,SUCCESS
tx44,2025-04-29T11:08:23.385650Z,252,USD,FAILED
tx45,2025-04-29T11:08:24.385650Z,98,USD,FAILED
tx46,2025-04-29T11:08:25.385650Z,215,USD,SUCCESS
tx47,2025-04-29T11:08:26.385650Z,116,USD,FAILED
tx48,2025-04-29T11:08:27.385650Z,109,USD,FAILED
tx49,2025-04-29T11:08:28.385650Z,338,USD,SUCCESS
tx50,2025-04-29T11:08:29.385650Z,437,USD,SUCCESS
tx51,2025-04-29T11:08:30.385650Z,70,USD,SUCCESS
tx52,2025-04-29T11:08:31.385650Z,253,USD,SUCCESS
tx53,2025-04-29T11:08:32.385650Z,66,USD,SUCCESS
tx54,2025-04-29T11:08:33.385650Z,64,USD,FAILED
tx55,2025-04-29T11:08:34.385650Z,453,USD,FAILED
tx56,2025-04-29T11:08:35.385650Z,165,USD,SUCCESS
tx57,2025-04-29T11:08:36.385650Z,248,USD,PENDING
tx58,2025-04-29T11:08:37.385650Z,232,USD,FAILED
tx59,2025-04-29T11:08:38.385650Z,380,USD,PENDING
tx60,2025-04-29T11:08:39.385650Z,361,USD,SUCCESS
tx61,2025-04-29T11:08:40.385650Z,359,USD,SUCCESS
tx62,2025-04-29T11:08:41.385650Z,192,USD,PENDING
tx63,2025-04-29T11:08:42.385650Z,299,USD,FAILED
tx64,2025-04-29T11:08:43.385650Z,210,USD,FAILED
tx65,2025-04-29T11:08:44.385650Z,55,USD,SUCCESS
tx66,2025-04-29T11:08:45.385650Z,384,USD,FAILED
tx67,2025-04-29T11:08:46.385650Z,268,USD,FAILED
tx68,2025-04-29T11:08:47.385650Z,477,USD,SUCCESS
tx69,2025-04-29T11:08:48.385650Z,121,USD,SUCCESS
tx70,2025-04-29T11:08:49.385650Z,347,USD,SUCCESS
tx71,2025-04-29T11:08:50.385650Z,205,USD,SUCCESS
tx72,2025-04-29T11:08:51.385650Z,147,USD,SUCCESS
tx73,2025-04-29T11:08:52.385650Z,305,USD,SUCCESS
tx74,2025-04-29T11:08:53.385650Z,465,USD,SUCCESS
tx75,2025-04-29T11:08:54.385650Z,500,USD,SUCCESS
tx76,2025-04-29T11:08:55.385650Z,205,USD,SUCCESS
tx77,2025-04-29T11:08:56.385650Z,468,USD,FAILED
tx78,2025-04-29T11:08:57.385650Z,424,USD,FAILED
tx79,2025-04-29T11:08:58.385650Z,446,USD,FAILED
tx80,2025-04-29T11:08:59.385650Z,361,USD,PENDING
tx81,2025-04-29T11:09:00.385650Z,465,USD,SUCCESS
tx82,2025-04-29T11:09:01.385650Z,124,USD,PENDING
tx83,2025-04-29T11:09:02.385650Z,391,USD,FAILED
tx84,2025-04-29T11:09:03.385650Z,252,USD,FAILED
tx85,2025-04-29T11:09:04.385650Z,344,USD,SUCCESS
tx86,2025-04-29T11:09:05.385650Z,493,USD,PENDING
tx87,2025-04-29T11:09:06.385650Z,473,USD,SUCCESS
tx88,2025-04-29T11:09:07.385650Z,346,USD,PENDING
tx89,2025-04-29T11:09:08.385650Z,165,USD,PENDING
tx90,2025-04-29T11:09:09.385650Z,128,USD,PENDING
tx91,2025-04-29T11:09:10.385650Z,199,USD,SUCCESS
tx92,2025-04-29T11:09:11.385650Z,369,USD,PENDING
tx93,2025-04-29T11:09:12.385650Z,51,USD,PENDING
tx94,2025-04-29T11:09:13.385650Z,335,USD,PENDING
tx95,2025-04-29T11:09:14.385650Z,365,USD,FAILED
tx96,2025-04-29T11:09:15.385650Z,146,USD,SUCCESS
tx97,2025-04-29T11:09:16.385650Z,94,USD,FAILED
tx98,2025-04-29T11:09:17.385650Z,402,USD,PENDING
tx99,2025-04-29T11:09:18.385650Z,491,USD,PENDING
tx100,2025-04-29T11:09:19.385650Z,167,USD,PENDING
tx101,2025-04-29T11:09:20.385650Z,284,USD,SUCCESS
tx102,2025-04-29T11:09:21.385650Z,249,USD,FAILED
tx103,2025-04-29T11:09:22.385650Z,119,USD,SUCCESS
tx104,2025-04-29T11:09:23.385650Z,203,USD,PENDING
